"t","ppi"
1,1044.2012727638335
2,1057.3318634800323
3,1070.1977713326598
4,1082.802720095402
5,1095.150433541946
6,1107.244635445978
7,1119.0890495811843
8,1130.687399721252
9,1142.043409639867
10,1153.1608031107162
11,1164.043303907486
12,1174.694635803863
13,1185.1185225735337
14,1195.3186879901846
15,1205.2988558275022
16,1215.0627498591732
17,1224.6140938588837
18,1233.9566116003207
19,1243.0940268571705
20,1252.0300634031196
21,1260.7684450118547
22,1269.312895457062
23,1277.6671385124284
24,1285.8348979516402
25,1293.819897548384
26,1301.6258610763462
27,1309.2565123092133
28,1316.715575020672
29,1324.006772984409
30,1331.1338299741105
31,1338.100469763463
32,1344.9104161261532
33,1351.5673928358674
34,1358.0751236662927
35,1364.4373323911148
36,1370.6577427840207
37,1376.7400786186968
38,1382.6880636688297
39,1388.505421708106
40,1394.1958765102122
41,1399.7631518488347
42,1405.21097149766
43,1410.5430592303746
44,1415.7631388206653
45,1420.8749340422182
46,1425.8821686687202
47,1430.7885664738578
48,1435.5978512313172
49,1440.3137467147853
50,1444.9399766979486
51,1449.4802649544934
52,1453.938335258106
53,1458.3179113824735
54,1462.622717101282
55,1466.8564761882185
56,1471.0229124169687
57,1475.1257495612201
58,1479.1687113946584
59,1483.1555216909705
60,1487.0899042238432
61,1490.9755827669626
62,1494.8162810940153
63,1498.6157229786877
64,1502.3776321946666
65,1506.1057325156385
66,1509.8037477152898
67,1513.475401567307
68,1517.1244178453767
69,1520.7545203231853
70,1524.3694327744197
71,1527.972878972766
72,1531.568582691911
73,1535.1602677055407
74,1538.7516577873425
75,1542.3464767110022
76,1545.9484482502066
77,1549.5612961786424
78,1553.1887442699958
79,1556.8345162979533
80,1560.5023360362015
81,1564.1959272584274
82,1567.919013738317
83,1571.6753192495567
84,1575.4685675658334
85,1579.3024824608337
86,1583.1807877082435
87,1587.10720708175
88,1591.0854643550392
89,1595.1192833017983
90,1599.212387695713
91,1603.3685013104705
92,1607.5913479197568
93,1611.884651297259
94,1616.2521352166632
95,1620.6975234516558
