"t","ppi"
95,1620.6975234516558
96,1625.2245397759236
97,1629.8369079631532
98,1634.5383517870312
99,1639.3325950212434
100,1644.2233614394772
101,1649.2143748154185
102,1654.3093589227547
103,1659.5120375351712
104,1664.826134426355
105,1670.2553733699929
106,1675.803478139771
107,1681.474172509376
108,1687.2711802524946
109,1693.198225142813
110,1699.259030954018
111,1705.4573214597958
112,1711.7968204338333
113,1718.2812516498168
114,1724.9143388814332
115,1731.699805902368
116,1738.641376486309
117,1745.7427744069419
118,1753.0077234379537
119,1760.4399473530304
120,1768.0431699258588
121,1775.8211149301258
122,1783.7775061395173
123,1791.9160673277202
124,1800.2405222684208
125,1808.7545947353053
126,1817.4620085020615
127,1826.366487342375
128,1835.4717550299317
129,1844.781535338419
130,1854.2995520415238
131,1864.029528912932
132,1873.9751897263297
133,1884.1402582554042
134,1894.5284582738418
135,1905.1435135553286
136,1915.989147873552
137,1927.0690850021979
138,1938.3870487149525
139,1949.946762785503
140,1961.7519509875362
141,1973.8063370947377
142,1986.1136448807943
143,1998.677598119393
144,2011.5019205842198
145,2024.590336048961
146,2037.946568287304
147,2051.574341072935
148,2065.47737817954
149,2079.659403380806
150,2094.1241404504194
151,2108.875313162067
152,2123.9166452894347
153,2139.25186060621
154,2154.8846828860783
155,2170.8188359027267
156,2187.0580434298413
157,2203.60602924111
158,2220.4665171102174
159,2237.6432308108515
160,2255.1398941166976
161,2272.9602308014432
162,2291.107964638775
163,2309.5868194023783
164,2328.400518865941
165,2347.5527868031486
166,2367.0473469876883
167,2386.887923193246
168,2407.0782391935086
169,2427.6220187621625
170,2448.522985672895
171,2469.784863699391
172,2491.411376615338
173,2513.406248194423
174,2535.7732022103314
175,2558.515962436751
176,2581.638252647367
177,2605.1437966158674
178,2629.036318115938
179,2653.3195409212635
180,2677.997188805534
181,2703.072985542433
182,2728.550654905648
183,2754.4339206688674
184,2780.726506605774
185,2807.432136490058
186,2834.554534095403
187,2862.097423195497
188,2890.0645275640272
189,2918.4595709746786
190,2947.286277201138
191,2976.548370017093
192,3006.249573196229
193,3036.393610512233
194,3066.984205738792
